,Unnamed: 0,broj_soba,kvadratura_m2,ukupan_broj_spratova,lokacija,udaljenost
202,5688,3.0,84.0,6.0,Voždovac,6.7168704899933
203,5689,4.0,126.0,6.0,Voždovac,6.7168704899933
204,5690,3.0,87.0,6.0,Autokomanda,3.215018856368662
205,5691,4.0,110.0,4.0,Zemun (Gardoš),5.0134749752355985
206,5692,3.0,105.0,4.0,Zemun (Gardoš),5.0134749752355985
207,5696,4.0,121.0,4.0,Zemun (Gardoš),5.0134749752355985
208,5698,4.0,125.0,4.0,Zemun (Gardoš),5.0134749752355985
209,5699,4.0,125.0,4.0,Zemun (Gardoš),5.0134749752355985
210,5700,4.0,121.0,4.0,Zemun (Gardoš),5.0134749752355985
211,5701,4.0,125.0,4.0,Zemun (Gardoš),5.0134749752355985
212,5702,4.0,121.0,4.0,Zemun (Gardoš),5.0134749752355985
213,5703,3.0,72.0,6.0,Medaković II,5.774822769024018
214,5725,3.0,71.0,2.0,Ledine,518.9711791843507
215,5759,5.0,211.0,7.0,Palilula,266.46924178002126
216,5760,3.0,88.0,4.0,Višnjička banja,6.224162953219111
217,5767,3.0,67.0,2.0,Konjarnik,5.368480014073527
218,5778,5.0,153.0,7.0,Južni bulevar,3.028100804547556
219,5779,3.0,72.0,7.0,Južni bulevar,3.028100804547556
220,5780,4.0,68.0,7.0,Konjarnik,5.368480014073527
221,5781,2.0,69.0,18.0,Novi Beograd Blok 61,7.1062952314282635
222,5783,4.0,85.0,6.0,Bežanijska kosa III,5.938591758432152
223,5834,2.0,40.0,7.0,Senjak,3.39088028174986
224,5835,2.0,59.0,5.0,Tašmajdan,1.4548943184742773
225,5858,2.0,60.0,2.0,Neimar,2.8931627895061047
227,5968,4.0,112.0,6.0,Kalenić pijaca,2.4656921514269445
228,5969,4.0,112.0,6.0,Čubura,2.6496467107738804
229,5970,4.0,101.0,6.0,Čubura,2.6496467107738804
230,5972,1.0,30.0,10.0,Trg Republike ( centar ),155.4308838771655
