,broj_soba,kvadratura_m2,spratnost,godina,udaljenost
46,3,92,1,2015,2.4656921514269445
659,3,127,5,2020,2.6496467107738804
1209,2,58,0,1938,2.4656921514269445
1108,6,160,3,2011,3.764078274853733
392,3,79,1,2008,11.920072721153614
274,4,75,6,1980,7.727643811926475
385,3,99,4,2016,5.5362987541185245
470,3,61,2,2021,8.758272925844354
683,3,65,1,2019,4.180902157560265
1297,1,34,0,1971,7.92577586190849
306,2,53,2,1931,1.5042766095938493
476,4,90,4,1955,2.4656921514269445
105,3,65,2,2004,7.153095479774088
954,3,78,7,1965,1.632392123413332
668,3,83,3,1926,2.1630935026910407
1300,2,38,0,2021,7.127100263495205
347,4,100,1,2020,4.4906956347495095
44,2,88,5,1991,3.229503918362215
181,3,96,3,1923,0.8372037712279973
96,4,103,2,2020,5.5362987541185245
551,2,59,5,2013,4.48966661360998
310,2,49,2,2007,7.727643811926475
1244,4,129,0,2008,8.758272925844354
441,3,62,4,2010,0.919179918821867
213,3,126,2,2001,3.7759754581122
1148,3,73,0,2022,4.627809124287993
642,3,62,2,1934,1.632392123413332
1002,4,130,2,2020,2.950728658023147
27,2,1,1,2021,3.900039816858124
195,5,156,6,2012,3.229503918362215
1296,1,38,0,2021,8.758272925844354
879,1,48,3,2011,10.55949884993751
1256,3,63,0,2007,3.028100804547556
142,2,62,1,2021,4.180902157560265
73,4,75,1,2019,4.627809124287993
337,5,420,5,2010,3.028100804547556
720,4,87,4,1970,7.304095597826741
206,4,140,2,2008,1.4548943184742773
98,4,105,4,1992,4.627809124287993
1257,3,84,0,2021,3.215018856368662
1072,2,49,2,1970,1.6695696906286124
284,3,71,2,2021,2.1630935026910407
1274,3,48,0,1998,5.5362987541185245
1203,1,38,0,2010,3.764078274853733
1016,2,55,1,1965,3.229503918362215
1046,2,46,5,1992,3.229503918362215
1049,4,123,12,2023,1.4993440102972917
100,4,125,1,2011,2.950728658023147
111,4,90,-1,2010,5.366227568282904
388,2,57,3,2015,17.41971612183071
20,4,99,1,1992,1.6695696906286124
705,5,110,5,2000,4.627809124287993
229,4,106,2,2017,2.1630935026910407
291,3,69,1,2021,6.558459236390924
264,3,81,4,1973,2.950728658023147
428,1,39,8,1976,2.216783588085802
766,4,90,3,1938,2.950728658023147
666,1,31,2,1955,0.5971212879791641
297,3,64,1,2021,3.229503918362215
644,3,64,3,1980,7.153095479774088
548,3,70,1,2015,4.627809124287993
402,2,46,1,2021,13.451198172241758
97,4,133,2,2001,2.1630935026910407
777,3,75,1,1970,7.304095597826741
697,6,260,3,2013,4.627809124287993
1272,2,55,0,2019,5.366227568282904
307,3,52,4,2021,6.558459236390924
164,2,38,2,2008,6.412357511311248
29,3,99,1,2008,2.950728658023147
1045,2,58,6,2016,3.0482574440179495
1198,3,47,0,2019,6.412357511311248
435,4,95,5,1995,2.2110960605513212
76,1,40,2,1930,0.33608526663220517
395,2,54,1,2009,4.4906956347495095
190,5,175,5,2020,4.627809124287993
661,3,94,3,1950,1.6695696906286124
952,3,91,12,1981,0.6620427698899353
602,4,88,1,1990,51.60738518857496
18,3,104,1,1935,1.8357865205205397
1181,3,70,0,2010,1.9339117769294034
83,2,41,1,2021,6.412357511311248
1029,2,50,1,1957,6.412357511311248
998,4,75,1,1969,0.33608526663220517
916,2,44,1,2021,7.727643811926475
135,3,94,3,2010,4.627809124287993
1118,3,81,1,2021,1.4993440102972917
921,3,74,1,1989,5.410252426884404
779,3,67,6,1960,0.33608526663220517
652,3,85,3,2019,4.627809124287993
1251,4,101,0,2019,4.699478834391479
125,2,51,1,1,4.180902157560265
530,2,58,2,1964,3.7759754581122
1004,2,50,3,2006,8.943213643405164
622,2,59,1,2021,8.758272925844354
605,3,67,6,1965,1.6695696906286124
988,6,228,5,2018,1.46223157229707
1138,2,89,1,1965,0.7637809531403825
970,4,126,5,1960,2.4656921514269445
378,2,42,2,2021,10.55949884993751
340,4,95,2,1973,12.112608628571747
323,3,53,1,2021,3.900039816858124
764,2,56,2,2020,0.7637809531403825
852,3,83,3,1926,2.1630935026910407
1074,3,84,2,2021,1.4993440102972917
1048,4,120,5,2020,0.6620427698899353
1,3,63,2,2022,4.627809124287993
694,3,124,3,2012,4.180902157560265
475,5,143,4,2010,2.4656921514269445
1269,2,51,0,2011,3.764078274853733
1022,2,43,1,2021,3.215018856368662
466,4,109,6,2015,2.1630935026910407
516,4,100,3,1991,2.950728658023147
861,3,92,3,2016,6.696755717591663
1087,2,67,1,2008,3.0199873882277415
2,2,53,3,2022,4.627809124287993
116,2,46,1,2020,3.229503918362215
678,3,74,2,2009,6.19034668998448
976,1,33,4,1940,2.6496467107738804
631,4,65,4,2020,9.02179299995636
1110,3,64,1,2010,6.412357511311248
1202,1,61,0,2009,4.180902157560265
369,4,90,1,2010,4.180902157560265
269,4,79,3,2013,3.7759754581122
524,2,34,7,2019,7.153095479774088
819,2,74,1,1970,1.9339117769294034
211,4,131,1,1939,1.5042766095938493
372,2,39,3,2020,4.627809124287993
1025,2,64,2,1930,1.46223157229707
171,3,74,3,2004,3.0199873882277415
527,3,70,5,1994,6.0625307468511105
240,4,94,4,2010,2.054488014985931
136,2,51,1,2002,4.180902157560265
515,4,94,2,2020,8.758272925844354
295,2,64,2,1969,2.4656921514269445
1132,3,67,1,2020,8.758272925844354
962,3,74,2,1985,6.2241629532191105
277,3,72,2,2021,6.558459236390924
755,3,98,5,2021,2.8931627895061047
965,3,62,5,2021,26.894131519743997
184,3,71,11,1980,1.4993440102972917
552,2,58,4,2019,4.627809124287993
517,4,94,2,2020,8.758272925844354
223,4,109,5,2021,6.558459236390924
430,6,110,8,1948,3.845037680399141
1291,3,50,0,2008,7.687569395012977
91,3,74,2,1980,6.2241629532191105
1026,2,50,-1,1939,14.967799402313748
529,3,70,1,1979,7.727643811926475
558,4,188,5,2006,7.024177481522416
1323,1,44,0,1979,4.627809124287993
787,3,60,4,2000,5.5362987541185245
806,2,55,2,2020,5.366227568282904
299,3,64,2,2021,4.627809124287993
21,2,61,5,2021,3.764078274853733
1153,1,34,0,2019,0.6620427698899353
974,4,140,2,1999,3.215018856368662
1192,2,56,0,2020,6.412357511311248
1021,2,66,3,1978,6.527557547589294
768,3,91,7,1959,1.0532900558286078
747,5,142,1,2001,7.341600443143959
34,1,32,1,2021,8.758272925844354
377,4,89,1,2021,4.627809124287993
324,3,78,3,2021,6.2241629532191105
85,2,58,1,2021,8.758272925844354
104,3,67,4,2019,7.153095479774088
137,5,100,4,1983,8.157463171465084
693,3,62,4,2017,3.900039816858124
110,4,88,3,2020,7.304095597826741
593,4,89,4,1970,3.764078274853733
1163,2,54,0,1980,6.412357511311248
897,2,80,3,2020,5.366227568282904
204,4,143,4,2021,5.5362987541185245
521,2,34,1,2019,4.180902157560265
776,3,70,1,2013,5.366227568282904
409,3,80,2,2006,7.046777409176671
1249,3,88,0,2021,3.764078274853733
740,4,94,2,2001,2.950728658023147
94,4,87,4,1952,7.304095597826741
891,4,75,6,2012,3.0199873882277415
714,4,90,3,2000,7.341600443143959
671,4,138,7,2010,4.382941271201817
757,2,63,7,1998,8.943213643405164
874,4,84,6,2008,5.368480014073527
329,1,26,5,1963,5.5362987541185245
327,1,36,8,1990,3.9650819778586195
923,5,170,1,2011,5.5362987541185245
1241,3,58,0,2016,5.410252426884404
893,4,107,3,1960,2.950728658023147
632,4,88,3,2003,2.950728658023147
157,5,79,2,2021,4.627809124287993
1298,2,82,0,2018,1.5042766095938493
121,4,190,4,2020,2.707399459121268
209,3,128,5,2020,2.6496467107738804
1271,1,28,0,2018,7.341600443143959
889,2,59,3,2021,2.950728658023147
1179,2,72,0,2020,4.627809124287993
580,4,167,2,2019,7.687569395012977
1295,3,60,0,1975,14.162730619680794
835,2,70,1,2018,7.727643811926475
1170,4,115,0,2021,6.558459236390924
254,3,83,2,2020,4.627809124287993
256,3,83,1,2020,4.627809124287993
902,3,62,3,1927,0.33608526663220517
1051,4,109,5,2020,2.707399459121268
840,2,55,5,2021,1.4993440102972917
992,3,62,1,2018,7.727643811926475
582,3,62,2,1938,1.4548943184742773
798,4,92,3,1937,2.950728658023147
163,2,48,5,2011,4.48966661360998
657,3,205,6,2019,2.6496467107738804
839,2,47,4,2020,4.627809124287993
719,5,124,3,2020,3.215018856368662
478,5,175,4,2012,4.48966661360998
894,2,67,1,2005,2.266162235470912
349,2,43,1,2018,5.410252426884404
765,3,61,3,2019,3.229503918362215
78,1,50,1,2008,3.229503918362215
503,4,100,1,1970,10.88236090103913
86,2,48,1,2021,8.758272925844354
677,3,61,2,1951,4.375819561017562
1136,2,60,1,2012,6.412357511311248
354,4,92,2,1989,5.999329576170734
688,4,80,1,2009,6.412357511311248
990,1,25,1,1938,1.4548943184742773
193,5,171,4,2000,2.8931627895061047
1176,4,77,0,2011,4.627809124287993
207,3,136,5,2020,4.627809124287993
42,4,94,1,2021,4.701286657456922
314,2,42,1,2008,2.4656921514269445
99,4,96,5,2016,3.0199873882277415
335,1,23,7,1970,0.33608526663220517
1092,2,73,5,1950,0.33608526663220517
471,3,80,5,2010,8.586996125221107
1299,4,100,0,2009,3.0199873882277415
23,2,48,2,2014,10.55949884993751
432,5,115,2,1993,7.341600443143959
396,4,75,4,2003,7.341600443143959
1309,2,51,0,2010,3.764078274853733
951,3,66,3,2019,3.7759754581122
643,3,62,2,1934,1.632392123413332
282,3,71,1,2021,2.1630935026910407
14,1,47,13,1970,4.382941271201817
1305,2,46,0,2021,5.5362987541185245
853,4,107,6,2021,0.8372037712279973
739,4,84,5,1990,3.229503918362215
647,3,64,3,1980,7.153095479774088
218,4,111,1,1954,2.4656921514269445
359,7,220,6,2000,3.0482574440179495
1119,4,127,4,2020,2.6496467107738804
692,4,83,2,1954,0.33608526663220517
1067,2,41,2,1950,3.0199873882277415
911,3,78,3,2021,3.215018856368662
608,2,67,4,1962,7.727643811926475
288,3,68,3,2020,7.127100263495205
797,4,123,2,2009,1.7729576626938195
276,4,74,2,1989,6.2241629532191105
33,2,42,2,2011,6.412357511311248
1091,2,58,1,2021,3.028100804547556
886,2,52,1,2015,6.19034668998448
917,2,72,6,1995,6.0625307468511105
1066,3,85,1,2010,0.6620427698899353
222,4,109,2,2020,2.950728658023147
1166,3,90,0,1928,2.4656921514269445
944,3,54,4,1963,3.0482574440179495
1224,2,51,0,2010,3.764078274853733
587,4,63,1,1939,2.054488014985931
1221,4,91,0,1981,10.275074551959623
860,4,110,6,1999,2.1630935026910407
804,4,145,3,2014,4.627809124287993
53,3,70,1,2013,5.366227568282904
606,2,67,4,1962,7.727643811926475
341,4,160,5,2018,3.229503918362215
79,1,34,1,1990,14.162730619680794
1283,3,71,0,2004,3.229503918362215
273,3,74,3,2004,3.0199873882277415
1278,2,36,0,2012,5.366227568282904
1142,1,29,1,1945,2.4656921514269445
1081,3,86,2,1935,2.950728658023147
1252,2,55,0,1998,8.943213643405164
214,5,120,3,2010,3.7759754581122
510,4,96,3,2010,3.229503918362215
1147,4,90,0,2022,4.627809124287993
210,4,128,4,2020,2.6496467107738804
427,2,65,2,2020,3.229503918362215
36,3,70,2,2021,5.5362987541185245
35,2,44,2,1949,556.2923753901563
942,2,33,-1,2017,7.024177481522416
301,3,62,2,2021,4.627809124287993
473,3,57,3,2005,3.7759754581122
509,2,53,8,1980,2.4656921514269445
522,2,55,1,2020,1.4993440102972917
885,3,84,1,2016,5.5362987541185245
868,3,87,1,1970,7.341600443143959
534,4,95,1,2020,2.950728658023147
496,5,180,3,2010,3.764078274853733
1303,2,50,0,1968,0.9257993107009531
1036,3,60,6,2000,6.19034668998448
695,3,73,4,2018,8.060358697490658
342,3,127,4,2020,2.6496467107738804
1288,4,90,0,2018,7.153095479774088
15,3,73,4,1960,2.4656921514269445
115,2,60,6,1980,1.151400209782773
667,3,79,8,2002,4.627809124287993
499,5,111,5,1970,0.33608526663220517
1084,3,83,1,1872,0.33608526663220517
925,4,96,17,1976,7.0581528069193915
1017,2,68,10,2008,4.049354546935837
1178,2,77,0,2019,3.215018856368662
1175,3,80,0,2020,4.627809124287993
95,4,75,1,2010,3.7759754581122
762,3,84,3,2009,2.670760515983161
489,4,134,2,2019,11.920072721153614
225,4,110,3,2018,3.7759754581122
576,2,59,4,2021,4.627809124287993
482,3,64,3,2013,0.6620427698899353
1063,2,42,-1,2020,7.727643811926475
626,4,68,4,2020,9.02179299995636
991,3,64,1,1934,1.6695696906286124
238,3,97,1,2009,3.0199873882277415
1313,5,120,0,1927,1.4548943184742773
783,3,66,2,2010,8.50683751498356
462,4,94,5,2019,3.028100804547556
1106,5,136,3,2021,1.632392123413332
162,2,54,2,2008,12.112608628571747
316,1,30,4,2020,4.627809124287993
1124,3,60,2,2021,6.558459236390924
357,2,36,1,2018,7.153095479774088
176,3,70,3,1980,2.670760515983161
1254,3,72,0,2021,4.627809124287993
128,3,53,3,2013,8.060358697490658
381,1,34,2,2021,10.55949884993751
414,2,73,30,2021,1.4993440102972917
975,3,84,4,2013,4.627809124287993
1015,2,64,2,1968,2.950728658023147
684,3,86,1,1961,4.627809124287993
876,2,47,4,2020,8.758272925844354
1111,2,51,1,1934,3.0199873882277415
859,4,124,12,2021,1.4993440102972917
133,3,85,4,2011,2.950728658023147
1146,4,119,0,2019,4.627809124287993
1250,3,70,0,1998,6.0625307468511105
973,3,93,7,2007,3.9681777402122815
1050,3,105,1,2020,2.707399459121268
5,3,63,4,2021,9.377203508182012
1248,4,67,0,2006,556.2923753901563
173,2,120,1,1997,2.4656921514269445
126,2,58,2,2019,4.627809124287993
267,3,80,4,1988,5.5362987541185245
48,3,66,4,2017,17.41971612183071
477,5,170,1,2007,1.9339117769294034
175,2,58,5,2020,3.7759754581122
260,4,84,5,1936,2.950728658023147
31,3,106,1,2005,5.368480014073527
258,3,83,3,2020,4.627809124287993
851,4,110,2,2008,3.229503918362215
786,3,87,3,1930,1.5042766095938493
526,3,60,3,1926,2.2110960605513212
938,4,125,5,2019,2.6518480418479227
1315,1,25,0,1920,0.8372037712279973
90,2,35,2,2021,3.900039816858124
1276,2,39,0,2010,1.632392123413332
261,3,83,3,1928,2.1630935026910407
1105,5,90,2,2009,8.50683751498356
