,broj_soba,kvadratura_m2,spratnost,godina,udaljenost
852,3,83,3,1926,2.1630935026910407
853,4,107,6,2021,0.8372037712279973
854,4,107,6,2021,0.33608526663220517
856,4,109,1,2008,3.229503918362215
857,4,174,7,2014,4.627809124287993
859,4,124,12,2021,1.4993440102972917
860,4,110,6,1999,2.1630935026910407
861,3,92,3,2016,6.696755717591663
862,2,49,2,2020,3.028100804547556
863,2,50,2,1965,1.7729576626938195
864,3,71,2,2006,5.938591758432152
865,3,68,3,2020,4.809290970010597
866,3,80,2,2020,11.920072721153614
867,3,77,1,1939,1.4548943184742773
868,3,87,1,1970,7.341600443143959
869,3,67,1,2008,7.341600443143959
870,2,51,1,2021,4.782396136000677
872,3,71,3,1925,1.0532900558286078
873,3,54,2,1960,3.028100804547556
874,4,84,6,2008,5.368480014073527
876,2,47,4,2020,8.758272925844354
877,2,32,3,2005,3.900039816858124
878,1,48,3,2011,10.55949884993751
879,1,48,3,2011,10.55949884993751
880,3,70,1,1936,0.33608526663220517
881,3,84,1,2016,5.5362987541185245
882,2,52,1,2015,6.19034668998448
884,3,70,1,1936,0.33608526663220517
885,3,84,1,2016,5.5362987541185245
886,2,52,1,2015,6.19034668998448
888,4,87,5,2020,3.229503918362215
889,2,59,3,2021,2.950728658023147
890,2,60,1,2021,4.701286657456922
891,4,75,6,2012,3.0199873882277415
893,4,107,3,1960,2.950728658023147
894,2,67,1,2005,2.266162235470912
895,2,73,5,2013,3.9333331631598982
897,2,80,3,2020,5.366227568282904
898,5,106,2,2017,7.727643811926475
899,2,39,4,2013,4.180902157560265
900,1,32,1,2021,8.758272925844354
902,3,62,3,1927,0.33608526663220517
903,3,47,1,1990,8.596287472021276
904,3,69,1,1993,1.4993440102972917
